time;codice;risposta
13:09:39.500;G1 X102.521 Y124.505 E23.22108;ok
13:09:39.578;G1 X100.343 Y125.473 E23.29183;ok
13:09:39.660;G1 X96.296 Y126.720 E23.41757;ok
13:09:39.739;G1 X94.708 Y127.098 E23.46604;ok
13:09:39.881;M105;ok T:219.2 /220.0 B:70.1 /70.0 T0:219.2 /220.0 @:44 B@:41
13:09:39.935;G1 X92.244 Y127.417 E23.53982;ok
13:09:40.016;G1 X89.576 Y127.518 E23.61909;ok
13:09:40.016;M73 P2 R14;ok
13:09:40.020;M73 Q2 S14;ok
13:09:40.113;G1 X86.826 Y127.339 E23.70091;ok
13:09:40.201;G1 X84.642 Y126.973 E23.76667;ok
13:09:40.203;G1 X80.494 Y125.788 E23.89474;ok
13:09:40.275;G1 X78.364 Y124.944 E23.96279;ok
13:09:40.418;G1 X75.994 Y123.694 E24.04231;ok
13:09:40.496;G1 X73.664 Y122.142 E24.12546;ok
13:09:40.587;G1 X72.277 Y120.965 E24.17944;ok
13:09:40.679;G1 X69.303 Y118.032 E24.30348;ok
13:09:40.739;G1 X67.986 Y116.508 E24.36328;ok
13:09:40.878;G1 X66.695 Y114.637 E24.43076;ok
13:09:40.945;M105;ok T:219.6 /220.0 B:69.8 /70.0 T0:219.6 /220.0 @:38 B@:92
13:09:41.020;G1 X65.518 Y112.566 E24.50149;ok
13:09:41.103;G1 X64.528 Y110.345 E24.57372;ok
13:09:41.110;G1 X63.281 Y106.307 E24.69919;ok
13:09:41.187;G1 X62.900 Y104.709 E24.74796;ok
13:09:41.324;G1 X62.587 Y102.310 E24.81981;ok
13:09:41.378;G1 X62.482 Y99.579 E24.90095;ok
13:09:41.461;G1 X62.650 Y96.929 E24.97977;ok
13:09:41.550;G1 X63.025 Y94.652 E25.04830;ok
13:09:41.643;G1 X64.209 Y90.504 E25.17638;ok
13:09:41.716;G1 X65.043 Y88.392 E25.24381;ok
13:09:41.860;G1 X66.295 Y86.012 E25.32364;ok
13:09:41.937;G1 X67.843 Y83.683 E25.40667;ok
13:09:42.026;G1 X69.024 Y82.288 E25.46096;ok
13:09:42.121;M105;ok T:219.2 /220.0 B:69.9 /70.0 T0:219.2 /220.0 @:46 B@:82
13:09:42.180;G1 X71.797 Y79.474 E25.57825;ok
13:09:42.321;M204 S1000;ok
13:09:42.327;G1 X72.051 Y79.725 F9000.000;ok
13:09:42.327;M204 S500;ok
13:09:42.389;G1 F1800.000;ok
13:09:42.390;G1 X73.658 Y78.309 E25.64181;ok
13:09:42.463;G1 X75.483 Y77.040 E25.70783;ok
13:09:42.539;G1 X77.532 Y75.868 E25.77792;ok
13:09:42.547;G1 X79.675 Y74.901 E25.84772;ok
13:09:42.624;G1 X83.735 Y73.641 E25.97394;ok
13:09:42.770;G1 X85.225 Y73.276 E26.01948;ok
13:09:42.819;G1 X87.581 Y72.954 E26.09010;ok
13:09:42.900;G1 X90.119 Y72.838 E26.16553;ok
13:09:42.992;G1 X92.888 Y72.990 E26.24787;ok
13:09:43.081;G1 X95.168 Y73.350 E26.31639;ok
13:09:43.157;M105;ok T:219.3 /220.0 B:70.0 /70.0 T0:219.3 /220.0 @:47 B@:68
13:09:43.302;G1 X99.341 Y74.534 E26.44518;ok
13:09:43.378;G1 X101.422 Y75.351 E26.51156;ok
13:09:43.383;G1 X103.699 Y76.539 E26.58781;ok
13:09:43.467;G1 X106.066 Y78.103 E26.67204;ok
13:09:43.560;G1 X107.432 Y79.258 E26.72516;ok
13:09:43.621;G1 X110.379 Y82.154 E26.84784;ok
13:09:43.757;G1 X111.696 Y83.664 E26.90733;ok
13:09:43.774;G1 X112.978 Y85.515 E26.97420;ok
13:09:43.867;G1 X114.174 Y87.616 E27.04597;ok
13:09:43.942;G1 X115.129 Y89.758 E27.11560;ok
13:09:44.023;G1 X116.374 Y93.795 E27.24104;ok
13:09:44.099;G1 X116.745 Y95.346 E27.28840;ok
13:09:44.240;M105;ok T:219.7 /220.0 B:69.8 /70.0 T0:219.7 /220.0 @:42 B@:92
13:09:44.293;G1 X117.051 Y97.663 E27.35778;ok
13:09:44.373;G1 X117.161 Y100.422 E27.43977;ok
13:09:44.380;G1 X116.983 Y103.139 E27.52060;ok
13:09:44.459;G1 X116.620 Y105.298 E27.58560;ok
13:09:44.549;G1 X115.444 Y109.409 E27.71257;ok
13:09:44.627;G1 X114.598 Y111.533 E27.78046;ok
13:09:44.770;G1 X113.343 Y113.896 E27.85991;ok
13:09:44.847;G1 X111.840 Y116.143 E27.94017;ok
13:09:44.931;G1 X110.687 Y117.498 E27.99299;ok
13:09:45.028;G1 X107.779 Y120.445 E28.11593;ok
13:09:45.086;M73 P3 R14;ok
13:09:45.086;M73 Q3 S14;ok
13:09:45.223;G1 X106.277 Y121.741 E28.17481;ok
13:09:45.292;G1 X104.441 Y123.005 E28.24100;ok
13:09:45.292;G1 X102.356 Y124.188 E28.31218;ok
13:09:45.366;M105;ok T:219.1 /220.0 B:70.2 /70.0 T0:219.1 /220.0 @:54 B@:36
13:09:45.448;G1 X100.212 Y125.141 E28.38183;ok
13:09:45.526;G1 X96.195 Y126.377 E28.50662;ok
13:09:45.532;G1 X94.644 Y126.747 E28.55398;ok
13:09:45.666;G1 X92.215 Y127.061 E28.62670;ok
13:09:45.720;G1 X89.578 Y127.161 E28.70505;ok
13:09:45.798;G1 X86.864 Y126.984 E28.78580;ok
13:09:45.891;G1 X84.718 Y126.624 E28.85041;ok
13:09:45.981;G1 X80.609 Y125.450 E28.97730;ok
13:09:46.055;G1 X78.512 Y124.619 E29.04425;ok
