time;codice;risposta
19:41:25.223;G1 X95.077 Y73.391 E21.15140;ok
19:41:25.316;G1 X97.649 Y73.958 E21.22959;ok
19:41:25.439;G1 X100.996 Y75.134 E21.33492;ok
19:41:25.491;G1 X104.593 Y76.814 E21.45280;ok
19:41:25.592;G1 X106.497 Y78.042 E21.52006;ok
19:41:25.661;G1 X108.233 Y79.496 E21.58732;ok
19:41:25.729;M105;ok T:218.0 /220.0 B:70.0 /70.0 T0:218.0 /220.0 @:63 B@:79
19:41:25.872;G1 X111.694 Y83.248 E21.73888;ok
19:41:25.940;G1 X112.783 Y84.591 E21.79020;ok
19:41:25.946;G1 X114.019 Y86.514 E21.85808;ok
19:41:25.958;G1 X115.470 Y89.417 E21.95445;ok
19:41:26.050;G1 X116.222 Y91.431 E22.01828;ok
19:41:26.120;G1 X116.734 Y93.530 E22.08241;ok
19:41:26.244;G1 X117.018 Y96.211 E22.16248;ok
19:41:26.310;G1 X117.027 Y102.783 E22.35759;ok
19:41:26.376;G1 X116.942 Y104.488 E22.40829;ok
19:41:26.435;G1 X116.697 Y106.178 E22.45898;ok
19:41:26.496;G1 X116.160 Y108.281 E22.52343;ok
19:41:26.729;G1 X115.372 Y110.315 E22.58819;ok
19:41:26.817;G1 X112.692 Y115.485 E22.76110;ok
19:41:26.905;M105;ok T:218.9 /220.0 B:70.1 /70.0 T0:218.9 /220.0 @:48 B@:63
19:41:27.024;G1 X111.674 Y117.148 E22.81899;ok
19:41:27.158;G1 X110.098 Y119.125 E22.89406;ok
19:41:27.163;G1 X107.767 Y121.409 E22.99094;ok
19:41:27.232;G1 X106.223 Y122.700 E23.05070;ok
19:41:27.307;G1 X104.537 Y123.818 E23.11078;ok
19:41:27.479;G1 X102.670 Y124.771 E23.17304;ok
19:41:27.536;G1 X100.705 Y125.504 E23.23530;ok
19:41:27.624;G1 X97.141 Y126.356 E23.34409;ok
19:41:27.727;G1 X95.394 Y126.643 E23.39666;ok
19:41:27.793;G1 X92.102 Y126.816 E23.49452;ok
19:41:27.864;G1 X87.630 Y126.806 E23.62732;ok
19:41:27.954;M105;ok T:218.9 /220.0 B:70.1 /70.0 T0:218.9 /220.0 @:50 B@:60
19:41:28.174;G1 X84.234 Y126.658 E23.72823;ok
19:41:28.233;G1 X82.198 Y126.384 E23.78924;ok
19:41:28.237;G1 X80.055 Y125.833 E23.85494;ok
19:41:28.289;G1 X77.985 Y125.023 E23.92095;ok
19:41:28.363;G1 X76.038 Y123.971 E23.98664;ok
19:41:28.434;G1 X74.224 Y122.685 E24.05265;ok
19:41:28.629;G1 X71.690 Y120.366 E24.15465;ok
19:41:28.694;G1 X68.520 Y116.854 E24.29514;ok
19:41:28.778;G1 X67.315 Y115.321 E24.35303;ok
19:41:28.888;G1 X66.114 Y113.434 E24.41943;ok
19:41:28.953;G1 X65.244 Y111.832 E24.47357;ok
19:41:29.021;M105;ok T:219.0 /220.0 B:70.1 /70.0 T0:219.0 /220.0 @:48 B@:69
19:41:29.092;G1 X64.539 Y110.151 E24.52770;ok
19:41:29.162;G1 X63.823 Y107.930 E24.59696;ok
19:41:29.169;G1 X63.406 Y105.951 E24.65703;ok
19:41:29.284;G1 X63.008 Y102.253 E24.76746;ok
19:41:29.343;G1 X62.936 Y100.695 E24.81377;ok
19:41:29.453;G1 X63.000 Y98.294 E24.88508;ok
19:41:29.603;G1 X63.369 Y95.525 E24.96801;ok
19:41:29.716;G1 X64.638 Y90.726 E25.11541;ok
19:41:29.784;G1 X65.763 Y87.796 E25.20859;ok
19:41:29.860;G1 X66.670 Y85.964 E25.26929;ok
19:41:29.934;G1 X67.776 Y84.245 E25.32999;ok
19:41:30.082;G1 X70.351 Y80.895 E25.45543;ok
19:41:30.196;M105;ok T:219.4 /220.0 B:69.9 /70.0 T0:219.4 /220.0 @:43 B@:92
19:41:30.196;G1 X71.614 Y79.544 E25.51035;ok
19:41:30.196;M204 S1000;ok
19:41:30.355;G1 X71.875 Y79.788 F9000.000;ok
19:41:30.355;M204 S500;ok
19:41:30.418;G1 F1800.000;ok
19:41:30.419;G1 X71.970 Y79.686 E25.51450;ok
19:41:30.494;G1 X73.452 Y78.417 E25.57243;ok
19:41:30.552;G1 X75.162 Y77.258 E25.63377;ok
19:41:30.556;G1 X78.408 Y75.461 E25.74391;ok
19:41:30.617;G1 X80.176 Y74.688 E25.80122;ok
19:41:30.695;G1 X82.008 Y74.114 E25.85823;ok
19:41:30.761;G1 X83.736 Y73.762 E25.91059;ok
19:41:30.885;G1 X85.480 Y73.583 E25.96264;ok
19:41:30.939;G1 X92.461 Y73.558 E26.16990;ok
19:41:31.019;G1 X95.040 Y73.747 E26.24670;ok
19:41:31.112;G1 X97.566 Y74.306 E26.32350;ok
19:41:31.276;M105;ok T:219.3 /220.0 B:70.2 /70.0 T0:219.3 /220.0 @:48 B@:34
19:41:31.382;G1 X100.869 Y75.467 E26.42745;ok
19:41:31.451;G1 X104.442 Y77.138 E26.54455;ok
19:41:31.457;G1 X106.307 Y78.345 E26.61053;ok
19:41:31.519;G1 X108.008 Y79.775 E26.67651;ok
19:41:31.660;G1 X111.435 Y83.495 E26.82668;ok
19:41:31.724;G1 X112.512 Y84.825 E26.87749;ok
19:41:31.742;G1 X113.721 Y86.714 E26.94409;ok
19:41:31.758;G1 X115.156 Y89.589 E27.03948;ok
19:41:31.833;G1 X115.893 Y91.574 E27.10236;ok
19:41:31.901;G1 X116.388 Y93.623 E27.16493;ok
